"Subject" "Activity" "Domain" "Component" "Sensor" "Signal" "Stats" "Direction" "Value"
24 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.289
24 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.27
25 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.251
25 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
25 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
25 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
25 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.291
25 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
26 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.272
26 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.258
26 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
26 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
26 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
26 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
27 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
27 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
27 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
27 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
27 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.298
27 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.266
28 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
28 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
28 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
28 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
28 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.294
28 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.262
29 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.287
29 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
29 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
29 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.272
29 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.293
29 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.265
30 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
30 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.268
30 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
30 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
30 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.283
30 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.271
1 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.041
1 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.001
1 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
1 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
1 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.01
1 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.024
2 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
2 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
2 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
2 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
2 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.023
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.021
3 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
3 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.004
3 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
3 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
3 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
3 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.032
4 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
4 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.007
4 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.009
4 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
4 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.01
4 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.032
5 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
5 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.01
5 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.007
5 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
5 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.009
5 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.033
6 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.01
6 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
6 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
6 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
6 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
6 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.027
7 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
7 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
7 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
7 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
7 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
7 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.028
8 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.021
8 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.007
8 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
8 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
8 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.021
8 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.028
9 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.021
9 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.027
9 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
9 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
9 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
9 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
10 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.024
10 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
10 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
10 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
10 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
10 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
11 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
11 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
11 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
11 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
11 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
11 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.03
12 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
12 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
12 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
12 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
12 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
12 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.026
13 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
13 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.006
13 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
13 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
13 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
13 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.028
14 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.011
14 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.009
14 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
14 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.022
14 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
14 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
15 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
15 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.012
15 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
15 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
15 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.006
15 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.029
16 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
16 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.01
16 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
16 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
16 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
16 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
17 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
17 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
17 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
17 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
17 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
17 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.023
18 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
18 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.013
18 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
18 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
18 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
18 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.022
19 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
19 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
19 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
19 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.019
19 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
19 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.03
20 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
20 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.015
20 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
20 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.021
20 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.01
20 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.028
21 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
21 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
21 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
21 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
21 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
21 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.024
22 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.014
22 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.012
22 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
22 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.017
22 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.02
22 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.027
23 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.022
23 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.013
23 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
23 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.018
23 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "Y" -0.016
